,city,city_lat,city_long
0,Camaragibe,-8.0213832,-34.9810768
1,Rio de Janeiro,-22.9110137,-43.2093727
2,Ribeirão Preto,-21.178333,-47.8066671
3,Unknown,25.0387049,-77.2941536448326
4,Porto Alegre,-30.0324999,-51.2303767
5,Santa Cruz do Sul,-29.7141799,-52.4284533
6,Santo André,-23.6573395,-46.5322504
7,Dias davila,-12.6107233,-38.3028518
8,Arcos,-20.282223,-45.539444
9,Coqueiral,-21.1850224,-45.4390315
10,Arujá,-23.396476,-46.319983
11,João Pessoa,-7.1215981,-34.882028
12,Itaguai,-22.8629597,-43.775322
13,Sao Gabriel,-30.334214,-54.3227149
14,Cariacica,-20.263202,-40.416549
15,Nova Venecia,-18.7063456,-40.3969786
16,Barra de Sao Francisco,-18.7570902,-40.8916119
17,Aldeia Amanajas Tauai,,
18,Santo Agostinho,-8.29626095,-34.9848133312134
19,Londrina,-23.3112878,-51.1595023
20,Maringá,-23.425269,-51.9382078
21,Campina Grande,-7.2246743,-35.8771292
22,Itapetininga,-23.588607,-48.048326
23,São Paulo,-23.5506507,-46.6333824
24,São Luís,-2.5319224,-44.2933276
25,Goiânia,-16.680882,-49.2532691
26,Duque de Caxias,-22.7896225,-43.309929
27,Nova Iguaçu,-22.7592175,-43.4508728
28,Salvador,13.8000382,-88.9140683
29,Várzea Grande,-15.645816,-56.132218
30,Fazenda Rio Grande,-25.6466077,-49.3103149
31,Campina Grande do Sul,-25.3046032,-49.0545355
32,Itapeva,-23.9849105,-48.8803886
33,Mountain View,37.3893889,-122.0832101
34,Juazeiro do Norte,-7.2153453,-39.3153336
35,Itapecerica da Serra,-23.7176303,-46.8492435
36,Macaé,-22.3712958,-41.7866922
37,Santo Amaro,-12.5489148,-38.7528771409091
38,Limeira,-22.5615068,-47.401766
39,Itaquaquecetuba,-23.4754492,-46.3514033
40,Marco,41.170802,-8.15446894308123
41,Campo Grande,-20.4640173,-54.6162947
42,Monte Azul Paulista,-20.91454895,-48.6507623538246
43,Tatuí,-23.3514733,-47.8552438
