,city,city_lat,city_long
0,Camaragibe,-8.021383199999999,-34.9810768
1,Rio de Janeiro,-22.911013699999998,-43.2093727
2,Ribeirão Preto,-21.178333,-47.80666710000001
3,Unknown,25.0387049,-77.29415364483259
4,Porto Alegre,-30.0324999,-51.23037670000001
5,Santa Cruz do Sul,-29.7141799,-52.4284533
6,Santo André,-23.6573395,-46.532250399999995
7,Dias davila,-12.6107233,-38.3028518
8,Arcos,-20.282223000000002,-45.539444
9,Coqueiral,-21.185022399999998,-45.4390315
10,Arujá,-23.396476,-46.319983
11,João Pessoa,-7.1215981,-34.882028000000005
12,Itaguai,-22.862959699999998,-43.775321999999996
13,Sao Gabriel,-30.33421400000001,-54.322714899999994
14,Cariacica,-20.263202,-40.416548999999996
15,Nova Venecia,-18.7063456,-40.396978600000004
16,Barra de Sao Francisco,-18.7570902,-40.8916119
18,Santo Agostinho,-8.29626095,-34.984813331213395
19,Londrina,-23.3112878,-51.1595023
20,Maringá,-23.425269,-51.9382078
21,Campina Grande,-7.2246743,-35.8771292
22,Itapetininga,-23.588607,-48.048326
23,São Paulo,-23.5506507,-46.633382399999995
24,São Luís,-2.5319224,-44.2933276
25,Goiânia,-16.680882,-49.2532691
26,Duque de Caxias,-22.7896225,-43.309929
27,Nova Iguaçu,-22.7592175,-43.45087279999999
28,Salvador,13.800038199999998,-88.9140683
29,Várzea Grande,-15.645816,-56.132218
30,Fazenda Rio Grande,-25.6466077,-49.310314899999995
31,Campina Grande do Sul,-25.3046032,-49.0545355
32,Itapeva,-23.9849105,-48.8803886
33,Mountain View,37.3893889,-122.0832101
34,Juazeiro do Norte,-7.215345299999999,-39.3153336
35,Itapecerica da Serra,-23.7176303,-46.8492435
36,Macaé,-22.371295800000002,-41.78669220000001
37,Santo Amaro,-12.5489148,-38.7528771409091
38,Limeira,-22.5615068,-47.401765999999995
39,Itaquaquecetuba,-23.4754492,-46.3514033
40,Marco,41.170802,-8.15446894308123
41,Campo Grande,-20.464017300000002,-54.61629470000001
42,Monte Azul Paulista,-20.91454895,-48.650762353824604
43,Tatuí,-23.351473300000002,-47.8552438
44,Bela Vista de Goias,-16.969294899999998,-48.9513071
45,Sape,-7.093591,-35.227975
46,Goianira,-16.5001973,-49.42547879999999
47,Carpina,-7.8459151,-35.2538861
48,Buenos Aires,-34.607561600000004,-58.437076
49,Osasco,-23.5324859,-46.7916801
50,Santos,-23.960832999999997,-46.333889
51,Brasília,-10.333333300000001,-53.2
52,Carapicuiba,-23.5234673,-46.840680799999994
53,Curitiba,-25.4295963,-49.2712724
54,Suzano,-23.5427842,-46.3108391
